date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:28:22	51595/51595	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Jun%202022%2006:28:21%20GMT	http://www.xynmkj.cn/news/62.html	C:/My%20Websites/xiayu/www.xynmkj.cn/news/62.html	(from http://www.xynmkj.cn/)
14:28:24	51919/51919	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Jun%202022%2006:28:22%20GMT	http://www.xynmkj.cn/news/61.html	C:/My%20Websites/xiayu/www.xynmkj.cn/news/61.html	(from http://www.xynmkj.cn/)
14:28:27	52151/52151	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Jun%202022%2006:28:24%20GMT	http://www.xynmkj.cn/news/60.html	C:/My%20Websites/xiayu/www.xynmkj.cn/news/60.html	(from http://www.xynmkj.cn/)
14:28:27	8413/8413	---M--	200	added ('OK')	image/png	etag:%2261aee7cf-20dd%22	http://img202.yun300.cn/img/bolo2.png?tenantId=251718&viewType=1&k=1638853222000	C:/My%20Websites/xiayu/img202.yun300.cn/img/bolo276d9.png	(from http://www.xynmkj.cn/)
14:28:27	96690/96690	---M--	200	added ('OK')	image/png	etag:%22618a4ad2-179b2%22	http://img202.yun300.cn/repository/image/760c1069-671a-4960-9477-c77b23294962.png_{i}xaf.png?tenantId=251718&viewType=1&k=1638853222000	C:/My%20Websites/xiayu/img202.yun300.cn/repository/image/760c1069-671a-4960-9477-c77b23294962.png_{i}xaf76d9.png	(from http://www.xynmkj.cn/)
14:28:28	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20Jun%202022%2006:28:27%20GMT	http://dfs.yun300.cn/group1/M00/1F/E6/rBQBHGFK1BCESOAMAAAAAMHQHTs079.png	C:/My%20Websites/xiayu/dfs.yun300.cn/group1/M00/1F/E6/rBQBHGFK1BCESOAMAAAAAMHQHTs079.43.delayed	(from http://www.xynmkj.cn/)
14:28:28	10929/10929	---M--	200	added ('OK')	image/png	etag:%2261aee7cf-2ab1%22	http://img202.yun300.cn/img/ercode3.png?tenantId=251718&viewType=1&k=1638853222000	C:/My%20Websites/xiayu/img202.yun300.cn/img/ercode376d9.png	(from http://www.xynmkj.cn/)
14:28:37	677/677	---M--	200	added ('OK')	image/png	date:Wed,%2022%20Sep%202021%2006:58:24%20GMT	https://dfs.yun300.cn/group1/M00/1F/E6/rBQBHGFK1BCESOAMAAAAAMHQHTs079.png	C:/My%20Websites/xiayu/dfs.yun300.cn/group1/M00/1F/E6/rBQBHGFK1BCESOAMAAAAAMHQHTs079.png	(from http://www.xynmkj.cn/)
14:28:37	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20Jun%202022%2006:28:36%20GMT	http://dfs.yun300.cn/group1/M00/06/F0/rBQBHWFK1EaEP8drAAAAAGVOuzM645.png	C:/My%20Websites/xiayu/dfs.yun300.cn/group1/M00/06/F0/rBQBHWFK1EaEP8drAAAAAGVOuzM645.png	(from http://www.xynmkj.cn/)
14:28:43	855945/855945	---M--	200	added ('OK')	image/png	etag:%2261aee7cf-d0f89%22	http://img202.yun300.cn/img/homepage2.png?tenantId=251718&viewType=1&k=1638853222000	C:/My%20Websites/xiayu/img202.yun300.cn/img/homepage276d9.png	(from http://www.xynmkj.cn/)
